userName,content,score
Affan Kurung,Bagus,5
Jukrik Belo,tidak mendapat nomer otp verifikasi nomer handphone di 3 nomer yang berbeda dan aktif,1
Slamet Riyanto,cepat dan luar biasa,5
Suhendri Beben,sangat membantu,5
DRAGON ARMY,aplikasi jaman penjajahan suka down,5
Anjas Sugi,jos,5
Armana,ini best banget deh pokoknya best banget,5
Ita Fransisca,mempersulit. kode otp tidak muncul.,1
Pande Banteng,apl ga bisa di pakek daftar aja ga bisa verifikasi lwt sms ga msuk masuk,1
Ha San,"pancene bpjs dobol,,wis dowload wis buwang tiga permainan,masih saja katanya ruang gak cukup,ngabisin kuota iya,mbuwang tiga permainane inyong,ndarani ora dowload maning,,",2
hiya hiya,"aplikasi jelek gabisa login lagi butuh juga, IT BPJS nya kebanyakan tidur",1
Susy Rahayu,susah di gunakan g jelas hidup dibikin susah mo berobat sj repot,1
David Atmawijaya,semakin baik bagus lebih di tingkatkan kembali,5
Syifa Kavita Viranti,mudah digunakan bagus,5
Amir Hussain,kode otp baru bisa terkirim kalau ada PULSA.,5
Akhmad Zaelani,tiap mau dibuka tiap update,3
Hanief Fikri Ma'arrief,"apasih, minta SMS otp aja gak dikirim kirim, nyusahin aja",2
resty fauzia rahmasari,mempermudah,5
Sabanie Sabil Thea,mantap mobile jkn,5
Nyimas Mariam,"bagus dan cepat,proses mudah",5
dedi rotama,"kenapa selalu log out dari akun sendiri sih, padahal hp dll udah bener -_-",2
Padil Doank,udah tau kan masalahnya? jadi gausah ku jelasin,1
Usman AS,saya sudah 5 hari coba. no HP tdk ada notif masuk. kalo tdk niat bikin D down saja jgan buat klo bikin report aja.,5
ANAK KAMPUNG,is okay lah,5
Kunarni 123,baik,4
Fino Salvator,bagus,5
Desi Cua,memudahkan dan membantu,5
cah waguw,ok,4
Muhammad Alfarizi,sangat membantu,5
Roby Kuswanto,bagus,5
Nurul Faratina,puas,5
Sandy Andrian,daftar selalu kendala di nomor tlp selalu ga bsa eror mulu ni aplikasi betulin dong,1
Mas Miko,bagus,5
mas budbud,sangat membantu,5
Ibrahim Alaydrus,service excellent,5
Malik Hasim,fast,5
rizky sandi,APLIKASI BOBROK MAU DAFTAR AJA KODE OTP GAK PERNAH TERKIRIM PERBAIKI LAGI BIAR TIDAK MEMPERSULIT HIDUP,5
Endang Soelistijowati,"BACA BAIK BAIK, NGAPAIN MEMPERSULIT HAL YANG SUDAH DIPERMUDAH? aplikasi jelek gabisa dibuka, dikira semua orang melek sama sosial media.",1
Akhmad Rizki Pambudi Jombang,semakin banyak sekali manfaat nya & semoga nanti bisa semakin lebih baik lagi & berkembang lagi.,5
nurimentel debiring,mudah dan gak ribet,5
Ruwijani Kartawardjaja,sangat mudah digunakan,5
Kesyy Chiko,memuaskan,5
Syamsiah Maryam,sangat membantu,5
Melki Gosen Aritonang,layanan bagus,5
Coim Courtois,good,5
Nur Aisyah,gercep banget kalo pengen pindah faskes makasih yaa min,5
Ghefrico,"nunggu kode otp nomor gak masuk masuk pdhal no btul jaringan bagus, hdehhh",1
Kurniawan Wawan,mantap,5
jakik gantengbanget,"apk BAPUKKKKKKKKM lu bisa kagasi bikin apk yang bener,bikin apk aja kaga becus apalagi kerjaannya, bnyk eror bug apalagi pas foto kamer pldh udh jelas2 terang full muka bahkan Sampek nambah lightning masih aja kaga bisa kediteck mau lu apaan dah, lu hire tim it dimnaa si kok ga becus banget gitu bikin apk,blm lagi kalo ga sengaja keluar,eh ngulang lagi tuh ngisi datanya pdhl baru mau daftar udh susahnya setengah mati",1
firdansyah alghifari,sangat membatu,5
Relis Sabarua,ini aplikasi sialll,1
Ame noven,mantulll,5
muhammad bijaksono syahputra,Apk Good,5
Juniaty Bala sepang,lebih muda saat mengambil antrean bisa dari rumah tdk lagi menunggu antrean panjang,5
Novita Sirigan,"tambahkankanlah opsi untuk simpan otomatis kata sandi, karena setiap ada update pasti harus masukan nik dan kata sandi lagi",2
Agus Suprayogi,"aplikasi bikin emosi, mau masuk susahnya luar biasa, setiap bulan suruh login.",3
Hendra Anboo,Baik,5
ridwan,mempermudah layanan,5
Kumakou,Aneh hp gak di root terdeteksi root. lah gimana makenya coba. Pucu aplikasi bank aja gak seribet ini.,1
Boy Daniel Marpaung,"apa perlu mobile JKN ku spam bot 🌟 1 ? Mumpung kerjaku review app playstore. OTP ga masuk², pulsa ada, paket ada. Segini parah kah kalian buat registrasi?",1
Reza Reza,tolong diperbaiki masa nomor verifikasinya berbeda dengan nomor yang dikasih pas mendaftar akun,1
Haji Zamroni,sangat mudah digunakan,5
Suwartam,sangat membantu,5
Miftah Jannah,mudah skli d gunakan,5
Munji Wahyu,ambil antrean tingkat lanjut tidak ada pdhl masih ada waktu nya,1
sky milk (Ryannda),"ribet bgt aplikasi nya, udahtau pake bpjs tuh ga mampu malah disuruh isi pulsa segala cuma buat dapetin sms otp",1
Sandika Dup,"gua kasih bintang 0 klo ada, aplikasi ga jls bsa bsanya kluar sndri",1
Surya Lesmana,"aplikasi bagus, tapi sayang beberapa pelayanan dari dokter tidak ramah 😅",4
chapoeng Gamers,lebih mudah,5
Sugiyanto,cepat efisien,5
Eko Toni,sangat bagus,5
Nita Novita,mudah penggunaannya,5
akbar cekbay,Sangat membantu,5
nama samaran,"GA BERGUNA!! UDAH DAFTAR NYA LAMA,PAS JADI EHH WAKTU NUNGGU DI RS TIDAK SESUSAI JAM,DOKTER NYA PERGI PERGI GAJELAS, NUNGGU KOK SAMPE 3 JAM GA DI LAYANI SAMA SEKALI!!",1
Adryansa Aso,Nyalahin jaringan costumer padahal dari sistem yang lalot,2
Vivi Ainun,kode otp ngga dikirim kirim! mau sehat malah jadi dipersulit gini buat berobat,1
Risna Wati31,prosesnya cepatt👍🏼👍🏼,5
wahyu syaefullah,Terima kasih banyak,5
Hamdah,bagus sekali,5
Iintand Noviiantii,sangat membatu,5
Mances Nusi,sangat baik,5
Mantan Cyber,"Aplikasi Paling bego, ""Anda Sudah Memasukkan Lebih Dari 3 NIK"" palaluh peyang mana ada cok. kalau ada yang darurat kasus kayak gini kalian mau tanggung jawab !!!",1
Harahap 123,biasoo,5
Nia Nia15,"apk taik,kode otp nd masuk² sama kode gmailnya nyusahin aj",1
Mutiara Ara,kenapa suka keluar keluar sendiri,1
Bravelyan Edgar,OTP gak masuk,1
shodiq shodiq,tambah ribet pelayanannya.,2
HAMSIR,puas,5
Bagas Hidayatullah,bintang limanya aplikasi paling ribet. bukanya ngebantu malah mempersulit. mau login aja susah nunggu kode otp lama bgt alhasil gagal terus. ga jelas banget aplikasi,5
Annisa Rafiqa,"mau cek telinga anak , malah disuruh daftar ini daftar itu mana ribet lagi , dulu padahal udah enak ke puskesmas ga perlu beginian hadehh ,",1
Iis Sugiarti,selama ini aplikasi jkn sangat membantu proses perobatan keluarga kami,5
Alvonzo,"otp sms gk bisa, coba lewat whatsapp lah!!! jaman udh canggih bos",1
Kamariah Husni,memudahkan kita dalam penguras PPJS,5
flores simangunsong,latanannya bagus,5
mahfudhotul himmah,"TOLONG LIHAT DAN BACA ULASAN, APLIKASI GAK PROPER SAMA SEKALI, KODE OTP NUNGGU BER JAM JAM GA KELUAR, BENAHI LAGII",1
lenny millenia,sangat baik,5
ade ade surya,ok banget,5
Amar Wahyuni,bagus dan bermanfaat,5
Rendy Branadha,lebih mudah..,5
Rush•ID,susah bet mau login gak bisa bisa,1
Nendiwahyu Nendiwahyu,tapii ngribetin monyet,1
Sandi Mardiana,"kode otp nya mana ga masuk2 padahal no hp bener ga salah,, apk anehhhhh",1
Ceddie Bacukiki,kenapa selalu minta update aplikasi ini,1
Onih Juhaeni,tolong perbaiki lgi byk bug,1
Ika Fitriana,mantap,5
Laila Qomariyah,aplikasi busuk...mau ngatur lupa kata sandi tulisan terjadi kesalahan terus,1
Tifa&muh Nazmi,setiap mau online pasti verifikasi no nik SM password pas di ketik bilang ya password salah nik salah padahal udh di ketik bener dan gak di ganti coba balikin itu saya tidak ubah password kecewa SM BPJS ya,1
Fandi Achmad,"ketika absen kontrol online sebelum tanggalnya ga bisa, ketika tanggal kontrol status dihapus, aplikasi beban NEGARA memang",1
Supri Yadi,mudah dan cepat,5
Novita Rahman,ribet susah login sebulan yg lalu Jd dan bisa buka jkn ini susah masuk lagi,5
HALLO MAMADE,baik,5
rina zara,"mau daftar kendala trs gimana ni tanggu jawabnya dong, mempersulit aja semakin hari setelah update ada aja masalahnya😭🙏",5
Riziq Rohmatullah,"sangat mengecewakan, jkn sekarang tidak di izinkan di scerenshot",1
may syarahPcy61,dftrnya ribet amat pasword udh bnr iblng slh ribett lueer jkn,1
Nanda Febrian,Saya daftar berkali² masih belum bisa² karena selalu tidak dikirimin nomor kode verifikasi ke nomor handphone saya,1
Nisa Umi,sangat membantu,5
Muhamad Abdul rohim,ok baguss,5
riyan sandra,membantu,5
Siti Salsiahh,kecewa bangt saya udh kosngin semua isi data hp saya tapi ttp ga bisa download,1
Alfino,josjis,5
Maulana Ihsan,apalah ga jelas app nya daftar aja ga bisa -bisa,1
Napi Jenggot,sengajak kasih bintang lima agar jgn sampai menysahkan masyarakat kenapa ga bisa kebuka padahal kuota banyak pulsa banyak wifi juga ada. sedangkan dirumah sakit ditekankan harus daftar online dulu,5
hadis mulyana,mudah,5
Hanafi Wahyudi,"kenapa tidak bisa didownload ? trus gimana mau berobat, kartu fisiknya tdk dapat. semua harus digital. sedangkan apl nya tidak bsa di download",1
Xenn 78,ini gimana sih katanya suruh verifikasi lewat SMS tapi belum ada SMS yang masuk saya udah tunggu 10-30 menit loh gimana sih,1
Andhi Irawan,sangat mempermudah untuk urusan kesehatan,5
Nurhadijah 16,sangat membantu,5
Resi Resmawati,"mau daftar online faskes1 gabisa terus, terus ini juga bisa masuk lagi jkn karna download dihp yg lain karna gabisa 3 akun, terus ini juga kalo keluar dulu tetep gabisa masuk lagi harus 2 hp ribet.",4
Siswadi Azis,sangat membantu,5
Realme C3 emmc,"di suruh update lagi ..mau update ko lama ya muter"" mulu..udah 93 persen nunggu ya lam aaa",5
Sulaiman Cdl,"kecewa karena sistem, makan buruk. JKN aplikasi gagal",1
Jama Baru,slama ini aplikasi ini bagus,5
Nurhayati Amin,"Mengapa setiap bulan selalu direset otomatis hah. ketika sudah masukin nomor nik dan pasword dengan benar kode captcha pun benar, eh tiba tiba gagal login",1
Suti Marsuti,"tolong aplikasi yang seharusnya mempermudah urusan malah mempersulit, verifikasi SMS aja nggak bisa, semua pendaftaran diarahkan lewat sini sedangkan apk saja tidak jelas. gimana dongg",1
Yazid Albustomi,Aplikasinya sudah sangat berguna tapi sistemnya agak aneh...masak tiba2 lok out sendiri ..akhirnya masuk lagi tiba2 sandi salah atau nik nya ..padahal sudah di coba beberapa kali tetap gak bisa...aneh,2
Ridwan Perman,ok mudah sekali gak ribet,5
Wiyono Winoyo,mudah digunakan,5
Tiara Anindita,"gabisa daftar gara gara ga masuk notif sms nya padahal nomor aktif, saran daripada pake sms mending pake WhatsApp",2
Arif Rahman,Baguss,5
nengah aria,nice lah,5
Armaini Ini,oke 👌,5
Sipa Afrilina,"Aplikasi sok berguna padahal bagusan juga game pou, nyusahin orang, kalo gak bisa bikin aplikasi gk ush bikin, surat rujukan masih aktif tapi malah gak bisa kan aneh, gak ada otak yang bikin aplikasi nya, banyak bug, ngeleg, disuruh login mulu,",1
Lina Normayanti,Sangat membantu. Terima kasih,5
Aulian Azmi,trimakasih karena sangat membantu,5
Adelia Adriani,sangat membantu masyarakat,5
Nyemas Eka Juliawati,"pelayanan sangat cepat dan mudah, semoga semakin maju",5
Eno rohanah,menyulitkan masyarakat karna ga semua orang punya hp dan aplikasi nya ribett. kembalikan lagi bpjs gratis!!!!!,1
eren Maulita,best,5
Siska Wilyanti,tolong saya tidak bisa verifikasi nomor hp gimna orang mau daftar bpjs yg mudah ini aja udah sulit engga d respon,1
Yuli Bidan,smakin mudah di akses. mudah digunakan.,5
Ogy Yogay,aplikasi bagus dan mudah,5
Boelir Boy,good,5
Sofa Hamid,jkn sangat mudah digunakan utk daftar ke dokter sesuai keinginan kita tanpa harus antri langsung ke faskes dg JKN waktu tidak akan terbuang percuma utk antri,5
Dede Rini,aplikasi ini sangat bermanfaat,5
Alfon,"Kecewa sekali , kode Verifikasi utk perubahan auto debit tidak di kirimkan juga setelah menunggu lama.",1
Miko Takki,"aplikasi jkn Mobile Menyusahkan masyarakat, Gimana kalau Orang yg aki aki yg sebatang kara ngga ada hp.. ini aja daftar gara"" nomor hp ngga masuk masuk kode nya",1
lenny sembiring,toppp,5
Andrian Firmansyah,"SENGAJA DI B5 BIAR DI NOTICE, KALAU EMANG GAMAU MEMPERMUDAH ATAU MEMPERCEPAT PROSES PEMBUATAN BPJS MENDING GAUSA BUAT APLIKASI GINI DAH,DIRIBETIN KODE OTP GAMAU MASUK UDAH ADA PULSA JUGA,KALAU GA NIAT BANTU GAUSA GINI BOS",5
chandra budianto,membantu untuk periksa kesehatan di saat urgent,5
Tiara Azhara,"MJKN makin gajelas dah sering tiba² ke logout sendiri Mulu, masa tiap buka Jkn harus selalu login lagi dulu😵‍💫",2
Egita Lisa97,Sangat membantu dan bermanfaat👍👍👍😍 semoga makin memudahkan kedepannya,5
Audy Lumingas,bagus,5
Jonie Kawe,menyulitkan,1
Suil Liantini,sangat membantu sekali,5
Lukman Usman,baik,5
Hartini Chaeruddin,luar biasa,4
Anisa Nur rahmawati,sangat membantu,5
Fendi Margantara,"aplikasi sangat bodohhh ... sangat"" menjengkelkan ... ruwetttt .... aplikasi gak guna .... sangat tidak membantu... jangan donwload ketimbang emosi ...",1
Asep Rusmana,susah mau dftr ny jug,3
viko firmansyah,"aplikasi sangat buruk baru proses pendaftaran aja gabisa bisa, ngga kirim kode verif padahal nomernya benar",1
Tofik Hazz,okeh,5
Siti ida Sadiah,sangat membantu,5
Bojes Tula,ok,5
SUHAENUDDIN S.pd.I,sangat bermanfaat dan sangat membantu peserta dengan mudah,5
Dendi Cahyadin,good,5
Van Vancy,aplikasi busuk gak banyak bug otp gak masuk masuk 2 jam saya tunggu gada sama sekali bikin stres aja kuota ada sinyal ful pulsa ada masih gak masuk,1
onnie,"ini kenapa susah banget ya dapat nomor verifikasinya, padahal ngga ada kendala apapun dari jaringan ataupun sms, tapi ko lama banget dapet kode verifikasinya",1
mannn 988,"apk busuk mau ganti ke mandiri karna g aktif mlh g bisa² kont, & mau nambah anggota mlh nomor kk g bisa di ganti, g bisa di tulis sendiri karna dah dr sana salah nomor kk nya",1
Ariyan Tidar Yanto,"kenapa selalu ga bisa login,disuruh daftar auto debit sedangkan pendaftaran berhasil tapi tetep ga bisa masuk, saya perlu untuk periksa kesehatan",3
Mrs Mimin,Sering log out sendiri. ketika memasukkan pasword sudah benar tapi tidak bisa masuk. akhirnya harus pilih lupa kata sandi ketika dapat kode otp mau memasukkan tapi aplikasi menutup sendiri. dibuka lagi malah kembali ke tampilan awal. gak bisa login.. harus gimana? aneh,1
Zakariya Efendi,sangat membantu,5
Rendhy 94,sangat bermanfaat dan mudah di akses,5
Arry Ganteng,tolong di permudahkan orang daftar,5
Pipit Dluffy,"HMM SENGAJA JUGA NIH NGASIH BINTANG 5 BIAR KEBACA BENAR BENAR!!! APLIKASI APAAN HARUSNYA YANG MUDAH KOK MALAH DIPERSULIT, DISURUH MASUKIN NOMOR HP YANG BENAR DAN SESUAI KODE OTP NYA MALAH GAK MASUK MASUK SAMPAI BERKALI KALI NUNGGUIN.. MALAH KATA NYA JARINGAN DATA ANDA BLA BLA BLA INI DAN ITU, YANG JELAS JELAS KUOTA NYA MASIH BANYAK KOK.. INI BIKIN YANG SAKIT MAKIN TAMBAH SAKIT UJUNG UJUNG NYA AKHIR NYA KOIT SAYA INI NANTI!!",5
Ayla Wijaya,sangat bagus,5
Hendra Firma,mantap,5
Aditya Prihandhika,Good,5
Slamet Sudarto,apalah suka logout sendiri gajelas!,1
Krisna Arkana,makin kesini.. mkin ribet,2
Dani Yan,tolong perbaiki no telpn yg sdh terdaftar ko kok bisa berubah jadi nomor lain,5
Raja Mabrur,sukses jkn,5
SAPRI,sangat membantu,5
Yuni Katon,"aplikasi sudah bnyk membantu, terimakasih",5
Januaris Sitinjak (Aris),nice,5
Mislia Dara,sangat membantu,5
Muhammad Nur Irawan,bagus,5
Zayd Antoza,ok dah pokoknya,5
ssabdljll offical,bagus banget,5
Gema Wibowo,sangat membantu,5
M abdullah Falah,"apk banyak bug nyy udah dicoba masukin nomer hp benar Malah gabisa masuk , kasian buat yang ga ngerti daftar ny bukanya mempermudah malah mempersulit gini amatt kesehatan di Indonesia",1
Ra Fera,verifikasi sms ngva masuk2,1
Pant Namp,"gajelas anj, kirim kode otp aja gapernah bisa kocak",1
Ohara 14,"Aplikasi paling tidak niat menurut saya, sudah daftar susah. login susah akun udah jadi. minta verifikasi ulang. mana verifikasi ulang juga susah, ada beberapa opsi ga ada yang berfungsi semua. 🐕",5
RDN AL,Aplikasi buatan pemerintah emang kebanyakan gak beres,1
Agus Taryana,good,5
Ponisri,mudah digunakan,4
Sukardi 85,sangat bagus,5
Yadi Hamid,ok,5
Saepul Gunawan,kalo ga niat buat apk jangan buat gua padahal udh masukin nomor yang belum di buat lah kok kodenya ga masuk kocak gmn dong apk,1
Soleman iya.,sangat membantu,5
Muhammad febri Setiawan,"begini bener jadi WNI ,udah masukin NIK dan pasword gak bisa login ,ada tulisan mohon maaf atas ketidak nyamanan nya ,gak JKN ,gak JMO . sama bae gak bisa login huft nasib-nasib ...",3
Ardi Kaimudin92,bagus,5
Ridwan dawong,ok,5
Sri Subagyo,sangat bagus,5
Adam Mutamarrulloh,"mau daftar aja susah banget masuk otp nya heran ,jangan bikin sulit apa",1
Darwin alfianto,buat registrasi aja ribet otp nga di kirim coba dong bisa kirim otp lewat WhatsApp kek apk pemerintah kok sistem nya kek gini banget yak pliss lah jangan di persulit,1
Asep Suryana,sangat berguna,5
Nuraeni Nur,ok,5
Wahyu Sumarto,"Habis Update Kenapa Keluar Sendiri,Masuk"" gak bisa masuk?",1
jesica putri siallagan,mudah di mengerti,5
solikhah 1968,susah login,1
Adraana Suci,setiap mau dipake harus log in aja teruss. dibenahi dikit kek kinerjanya,1
FF_ EZY,untuk daftar sangat di persulit,1
Adika Putra,kenapa malah susah sekali login nya,1
Hari Satya 029,kode OTP tidak pernah muncul udah 3 kali ulang ulang. SEBAIKNYA OTP BEBAS PULSA,1
Jerry Setiawan,di kasih 2 dulu,2
Rajab Alfarizqi,ribet bnggt daftarnya eror terus,1
Siska Kurniasih,Memakai mobil JKN saya jadi lebih mudah untuk bawa anak berobat ke Rumah sakit terdekat,5
Wira Dharma,sering logout sendiri,1
Arief .s,"tolong untuk aplikasi ini di bagian perubahan password untuk pengiriman kode otp jangan hanya beri 1 opsi melalui SMS saja beri melalui WhatsApp / telepon agar tetap terhubung jika suatu saat SIM card hilang atau nomor tidak di dipegang oleh orang yg ingin login untuk costumer servis di bagian website jg tolong di perbarui sangat lambat proses mending seperti itu saja, ini agar cepat dalam menangani, apalagi ini ada aplikasi yang berkaitan dengan kesehatan",1
Ervan Setiawan,mantullll,5
Chandra Flints,Terbaik,5
Nurmala Sari,"mudah dalam penggunaan, memudahkan untuk pindah faskes dan pendaftaran untuk berobat",5
Ikhbar Sidiq Anshory,bagus,5
Muhammad Hariyanto,PUASSS,5
Unboxing Time,"Tolong diperbaiki lagi, sudah mengisi skrining kesehatan tapi tidak bisa tersimpan. Tidak bisa berobat jika belum mengisi skrining, padahal saya sudah isi seluruhnya tapi selalu gagal",1
yonan wunandar,sekarang lebih mudah dan tidak ribet dengan pelayanan yang sama,5
Ani Sopian,sangat membantu sekali,5
Doni Prasetyo,mudah digunakan tapi mbendal2 kalau pas rame,5
Miftah Arif,lelet,5
Eri 1902,ok,5
Titi Nasiti,"Mau ganti nomer baru, tidak bisa mau login jadi susah .JKN oh JKN.",2
Fahmi Nursyah,mudah penggunaan nya,5
Rehan,Mao daftar baru pas udh masukin no g bisa verifikasi no nya,1
Happy Ida,"aplikasi yang sangat bagus dan memuaskan, sudah masukin no hp sudah masukin email sudah ferevikasi wajah tp tetep Ndak bisa, selalu sulit, tetap pertahankan apk sebagus ini kalo boleh lebih dipersulit Lagi soal registrasi biar penguna puas.",1
Rudi Andah harahap,aplikasi ini sangat bagus,5
Endang Mulyani,sangat bagus,5
Maha Rani,good,5
carmun carmita,"Alhamdulillah, jadi mudah",5
Heri Santoso,mantap 👍,5
A Dedi Sajalah.,ok bgt,5
Arlin Zulkarnain,bagus,5
Yopa Iskandar,pokonya saya sangat marah,1
Fifi Septiani,lebih mudah dan mempermudah,5
Aris Riyanto,ok,5
dhon dhni,sangat baik,5
Widi Aditya,daftar kirim otp pake pulsa,1
Amir Yusuf,jelas aplikasinya dan dapat di mengerti,5
Saepul Rohman,👌,5
Sobi_abdul Mugni,membantu dan memudah kan tanpa robet bawa kartu,5
Didit ardiyan,baik,5
Caca Slanky,ya lumayan ada jkn ini. mohon ke depannya lebih baik lagi.,4
Dwi Jamiko,"ini mau daftar akun ga bisa2..pdhl ni aktif,sinyal wifi lancar,pulsa ada,email aktif,giliran kirim nomer kode otp g dikirim2,katanya sebulan sekali diperbarui bukannya lancar malah tambah parah server errornya...trs gimana ni pdhl mau buat periksa",1
Nunung Sitinurhasanah,sangat membantu,5
Febriana Rinda Murwani,"mohon maaf, kenapa ya aplikasi mjkn ini sering banget ke logout sendiri, sering banget merintah ganti password padahal aplikasi keuangan/bank aja gk segitunya, mohon diperbaiki, kasihan yang orang tua suka bingung",1
Ni Ketut Suputri,"data RW tidak terbaca, pdhl udah melakukan perubahan data alamat tetap aja di aplikasi nggk berubah. kita malah disuruh ngubah di RS rugiii banget pake aplikasi kalau seribet ini",1
Muhammad Akmal,dibantu daftar oleh petugas di puskesmas Leuwiliang,5
Katemi Dafiya,aplikasi pemerintah yang sangat bermanfaat untuk rakyat,5
Imam Wahyudi,"aplikasi b-suk, aplikasi minta upgrade terus. giliran upgrade auto logout, giliran login ada note lagi gangguan. sistem pay+h, bobr-k.",1
bersua tanpa temu,"apasih orang NIK sama PASSWORD udah bener tapi gabisa masukk, gajelass",1
Winda Rahma,nyaman di gunakan walau masih baru pengguna sih,5
RM #1,Mudah diakses dan tidak ribet,5
Kisrian Hakim,"knapa kasih b3, skrang ga jelas banget tiap mau daftar antrian suka, di suruh skrining kesehatan terus, udah di isi nih ya, blik ke menu pendaftaran antrian, malah di suruh lagi isi skrining, pdahal barusan udah gmna sih, bukan sekali dua kali ini, yg bikin ksel faskes saya harus pke apk klo mau daftar berobat, tpi pas mau daftar pke apk, malah ngaco terus.. kecewa sumpah.",3
Starboy Lepek,tolol kebanyakan iklan,1
Sherin Siahaan,simple to use,5
Yogo Putra,mau berobat susahnya minta ampun dah,5
Rahma Talita,"ini mau daftar dari dulu banget susah pasti gak terhubung server astagah, padahal udah diulang ulang tetep aja gak ada perubahan ini padahal suruh dftar suruh ngisi ngisi tapi kalau mau ambil antren gak bisa gimana sih hrsnya jangan wajib wajib buat isi lh apalah di jkn padahal juga susah ujung ujungnya ambil antrean",1
Imam Sapei,mau ngambil nomor antrian gak bisa . susah,3
Adam Bayu,menunggu verif nomor hp lewat SMS susah banget.,1
Nurudin Untung,baik,5
Anastasia Ratih Koe,"saya pengguna rutin, tak pernah ada kendala. terimakasih",5
Yogi,oke,5
Teguh Hari,pak probowo tolong saya daftar susah banget terutama bagian video call,1
Benny Oroh,sangat bermanfaat,5
Jiway Official,cepat dan dapat memudahkan dalam penggunaan,5
Akbar Ramdani,luar biasa,5
Rudi Hartono,membantu sekali,5
I Putu Ardiana,kenapa setiap upgrade apk harus login lagi? ketika login selalu NIK salah. sangat sangat tidak membantu,1
Mohamad Rezza,ok,5
Syamsul bahri Syamsul,"aplikasi TDK bisa membantu karna dikit dikit eror,d",1
Kessa Kessay,"kenapa gabisa verifikasi sms sih, ngeselin bgt",1
Angeline Salnita Putri,perbaiki jih itu aplikasi mu jangan nah banyak ribut,1
Rahmat Tullah,sangat baik,5
NATANAEL KABAN,mudah sederhana,5
Yuni Amsir,sangat membantu,5
Nadhier Alawee,"yang pakai BPJS kebanyakan orang tua, mikir dikit kalo mau bikin aplikasi, bukan mempermudah malah mempersulit.",2
Anita Indra Pertiwi,Untuk ambil antrian sering eror di hp ku. Samsung A80.,1
Yati Nurhayati,"pake wifi susah ,,pake data susahhh ,,sangat menyulitkann",1
Gilang Adrian,benerin tuh apk lu,1
Hendra Supriadi,sangat membantu,5
RiznR,"Server lawak Jam 00.05, tgl 23 Mei 2026 Ke deteksi tidak ada sinyal, Lah lawak, sinyal Internet Gw Manteng Gini",2
Masayu Raina,"BUG nya ampun . Signal wifi bagus, pake data celuler juga bagus malah keluar terus pop-up notif ""Anda sedang offline silahkan cek kembali koneksi jaringan anda"". Udah di clear chace udah di force stop masih aja gitu terus ! Ini kalo urgent sangat mengganggu ! Tolong diperbaiki .",2
Ahmad Fauzy,"aplikasi apaan gabisa ngambil antrian gabisa login, tulisannya coba periksa internet terus, jaringan bagus buka aplikasi online lain normal gaada kendala, buka jkn doang cek internet cek internet",1
Akung 123,"buat apa guna apk ini, klo ujung²nya daftar online eror trs. makin eror saya make apk ini sakit oonnya",1
windi,"data seluler hidup, buka aplikasi lain lancar malah aplikasi ini gabisa katanya gaada koneksi internet aneh bangett!",1
Wahyu Aji,"aplikasinya nyuruh cek internet ketika tidak bisa masuk, padahal cuma jkn aja yang gak mau jalan aplikasinya selain semua aplikasi di hape saya yang pakai internet. menyalahkan orang atas kelemahan diri sendiri",1
Alyaaf,ku reting jelek biar ke notis karna sinyal udah bagus buat apk lainnya bisa kok di jkn gak bisa aneh banget mana waktu mau login udh benar tinggal nunggu SMS kok malah gak masuk gimana sih niat mempersulit atau mempersulit banget kehidupan orang ya!???? tolong dong responnya secepat mungkin aku maunya!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! aku udah sabar dan coba berkali-kali login kok ya tidak ad hasilnya sama sekali gak bisa masuk,1
Effendy Saifull,"Menyedihkan! Bentar"" disconnect padahal jaringan lancar. ribet. keterangan gajelas.",1
Fikri Fikri,"aplikasi tolol! masuk aplikasinya eror terus katanya (anda sedang offline) tolollll gua pake wifi/ Kouta pun gak masuk masuk, mana pendaftaran sekarang harus online. pokok aplikasi tolol",1
Endro Wijanarko,koneksi gagal. padahal sudah pakai wifi,1
B Pandu,setelah update malah mau masuk suruh cek koneksi melulu...parah nihh,1
Ahdiyah S,"masa jaringan udh kenceng masi ga bisa juga buat akses aplikasinya, anehhh",1
Ainun Najib,sampah,1
rico riando,"apk busuk registrasi aja susah no captcha aja gk muncul""",1
Yayi Alfabaqi,"udh Gonta ganti wifi, beli paket data, pakai hotspot temen, minjem wifi tetangga tapi masih disuruh cek koneksi. Aneh banget",1
Shela.pricilla Dimsumchili,jeelek,1
arita valentina,kesel banget ga bisa2 login,1
Sugeng Riadi,gimana pihak JKN bintang udah 5 habis di update malah gak bisa masuk lagi NIK sama sandi udah bener malah gak bisa2,5
Ramlah Kasim,mempermudah dan mempercepat pelayanan,5
cantika ramadhani,Selalu gagal saat bagian rekam wajah. Padahal sudah sesuai ketentuan tapi tetap disuruh ulangi terus. 👎,1
Heru Wibowo,korupsi,1
Hasan Asri,sering keluar sendiri login lagi pulsa lagi rada rada emang di sengaja kali ya,1
eppy setiawan,"sms OTP gak ada pesan masuk, ganti nomer hp 3x tetap sama,,",1
Romelih Romelih,sangat membantu,5
rijal rijal,ok otw,5
Umi Saumi0108,sangat membantu,5
Sri Purwati,paraaaaah. gak ada kata yang bisa mendeskripsikan betapa PARAHNYA ini,1
Heri Zuhaeri,sangat membantu,5
